Sr.,Category,HS Code,Product,Verity,Summary,Short specs,Long Specs
24,Fruits,80590,Citron,Ox,"Citron is a large, oval-shaped citrus fruit with a thick, fragrant rind. The flesh is tart and acidic, and is used for flavoring in both sweet and savory dishes. Citron is grown in warm climates, and is in season from late fall to early winter.","Size: 5.5 to 7.5 cm (2.2 to 3 in) long, Shape: oval to oblong, Skin Color: yellow to orange-brown, Flesh Color","Size: 5.5 to 7.5 cm (2.2 to 3 in) long, Shape: oval to oblong, Skin Color: yellow to orange-brown, ,Flesh Color,Scientific name: Citrus medica, Origin: Italy, TSS: 7-8%, Acidity: 0.5-0.8%, Taste: Sour, Seed: Yes, Ripening Season: Autumn, Nutritional Value: Vitamin C, Shelf life: 2-3 weeks"
25,Fruits,80590,Citron,For Milk (Dairy),The Citron variety for Milk is a citrus fruit that is grown in the Mediterranean region. The fruit is used to make a dairy product called citron cheese. The cheese is made from the milk of sheep or goats. The Citron variety for Milk has a strong flavor and is used in many dishes.,"Size: 5-8 cm, Shape: oval, Skin Color: yellow, Flesh Color: pale yellow, Texture: juicy, slightly acidic, Weight: 150-200 g","Size: 5-8 cm, Shape: oval, Skin Color: yellow, Flesh Color: pale yellow, Texture: juicy, slightly acidic, Weight: 150-200 g,Scientific name: Citrus medica, Origin: India, TSS value: 7-9%, Acidity: 0.5-1.5%, Taste: sour, acidic, Seed: 1-5, Ripening Season: December-January, Nutritional Value: Vitamin C, limonene, Shelf life: 3-4 months"
26,Fruits,80590,Citron,Bullock,"Citron is a large, lemon-like fruit with thick skin and a knob-like end. The flesh is acidic and juicy, with a strong, lemon-like flavor. Citron is used to flavor dishes, make it into juice, or candied. It is also used in many beauty products.","Size: 5-8 centimeters, Shape: Ellipsoid, Skin Color: Yellow, Flesh Color: Yellow, Texture: juicy, Weight: 80-200 grams","Size: 5-8 centimeters, Shape: Ellipsoid, Skin Color: Yellow, Flesh Color: Yellow, Texture: juicy, Weight: 80-200 grams,Scientific name: Citrus medica, Origin: India, TSS value: 7-9%, Acidity: 0.5-1.5%, Taste: sour, acidic, Seed: 1-5, Ripening Season: December-January, Nutritional Value: Vitamin C, limonene, Shelf life: 3-4 months"
27,Fruits,80590,Citron,Bull,"The citron fruit is large and yellow with a thick, textured skin. This variety of citron is grown in China and is prized for its strong, citrus aroma. The citron is a popular flavoring agent in Chinese cuisine, and is also used in traditional medicine.","Size: 10-12 cm, Shape: Ovoid, Skin Color: Yellow, Flesh Color: Pale yellow, Texture: Fine-grained, Weight: 150-200 g","Size: 10-12 cm, Shape: Ovoid, Skin Color: Yellow, Flesh Color: Pale yellow, Texture: Fine-grained, Weight: 150-200 g,Scientific name: Citrus medica, Origin: India, TSS value: 10-11%, Acidity: 2.5-3.5%, Taste: Sour, acidic, Seed: 1-5, Ripening Season: Winter, Nutritional Value: Vitamin C, limonene, Shelf life: 2-3 weeks"
28,Fruits,80590,Citron,Offal - Heart,"The Citron is a large, yellow citrus fruit with a thick, bumpy rind. The flesh is sour and acidic, and is used in marmalades and preserves. The Citron is native to Southeast Asia and is grown in China, India, and Japan.","Size: Approximately 6 inches in diameter, Shape: Round, Skin Color: Yellow, Flesh Color: Yellow, Texture: Thick, bumpy skin with aromatic flesh","Size: Approximately 6 inches in diameter, Shape: Round, Skin Color: Yellow, Flesh Color: Yellow, Texture: Thick, bumpy skin with aromatic flesh,Scientific name: Citrus medica, Origin: Mediterranean, TSS value: 7-8%, Acidity: 0.5-0.7%, Taste: sour, acidic, Seed: 1-5, Ripening Season: late fall, winter, Nutritional Value: high in Vitamin C, Shelf life: 2-3 weeks"
29,Fruits,80590,Citron,Cow,"A citron is a large, yellow citrus fruit with a thick rind and a sour, acidic taste. It is native to India and China, and is used in many Asian cuisines. Citron is also known as the "" king of lemons.""","Size: 8 cm, Shape: oval, Skin Color: yellow, Flesh Color: white, Texture: juicy, Weight: 150 grams","Size: 8 cm, Shape: oval, Skin Color: yellow, Flesh Color: white, Texture: juicy, Weight: 150 grams,Scientific name: Citrus medica, Origin: Mediterranean, TSS value: 7-8%, Acidity: 0.5-0.7%, Taste: sour, acidic, Seed: 1-5, Ripening Season: late fall, winter, Nutritional Value: high in Vitamin C, Shelf life: 2-3 weeks"
30,Fruits,80590,Citron,Offal - Tongue,"The Citron variety of fruit is a citrus fruit that is native to China. The Citron fruit is a round, yellow fruit that has a thick rind and a sour taste. The Citron fruit is used in Chinese cuisine for its sour flavor. The Citron fruit is also used in traditional Chinese medicine for its medicinal properties.","Size: Medium, Shape: Round, Skin Color: Yellow, Flesh Color: White, Texture: Juicy, Weight: 100-120 grams","Size: Medium, Shape: Round, Skin Color: Yellow, Flesh Color: White, Texture: Juicy, Weight: 100-120 grams,Scientific name: Citrus medica, Origin: India, TSS value: 10-12%,, Acidity: 0.5-1.5%, Taste: sour, acidicSeed: few, Ripening Season: late summer, Nutritional Value: high in vitamin C, Shelf life: 4-6 weeks"
31,Fruits,81190,Cotton Fruit,Santol Ruby,The Santol Ruby is a variety of cotton fruit that is grown in the Philippines. This fruit is in season from December to February and is known for its sweet and sour taste. The Santol Ruby is also a good source of vitamins and minerals.,"Size: 3-4 cm, Shape: heart-shaped, Skin Color: orange-yellow, Flesh Color: white, Texture: crisp and juicy, Weight: 50-70 g","Size: 3-4 cm, Shape: heart-shaped, Skin Color: orange-yellow, Flesh Color: white, Texture: crisp and juicy, Weight: 50-70 g,Scientific name: Sandoricum koetjape, Origin: Philippines, TSS value: 14-16%, Acidity: 0.5-1.5%, Taste: Sweet and sour,, Seed: 1-2 seeds per fruit, Ripening Season: August to September, Nutritional Value: Rich in Vitamins C and B, Shelf life: 2-3 days"
32,Fruits,81190,Cotton Fruit,Tub Tim Santol,"The Cotton Fruit variety Tub Tim Santol is a small, red fruit with white flesh that is native to Southeast Asia. This variety of santol is known for its sweetness and is often used in desserts. Tub Tim Santol is in season from October to December.","Size: 2-3 cm, Shape: oval, Skin Color: brown, Flesh Color: white, Texture: soft, Weight: 20-40 g","Size: 2-3 cm, Shape: oval, Skin Color: brown, Flesh Color: white, Texture: soft, Weight: 20-40 g, ,Scientific name-Gossypium hirsutum, ,Origin-Mexico, ,TSS value- 28.6%, ,Acidity- 0.41%, ,Taste- Sweet, ,Seed- One, ,Ripening Season- Spring, ,Nutritional Value- High in Vitamin C, ,Shelf life- 2 weeks."
33,Fruits,81190,Cotton Fruit,Golden Velvet,The Cotton Fruit variety Golden Velvet that is produced in the region of California. This fruit is in season during the summer months and is likeness among consumers for its sweetness and juiciness. Other exciting features of the fruit include its large size and firmness.,"Size: 17 cm, Shape: pear-shaped, Skin Color: yellow, Flesh Color: white, Texture: crisp, Weight: 300 grams","Size: 17 cm, Shape: pear-shaped, Skin Color: yellow, Flesh Color: white, Texture: crisp, Weight: 300 grams,Scientific name: Gossypium hirsutum. Origin: Mexico and the southwestern United States., TSS value: 12-14%, Acidity: 0.4-0.6%, Taste: sweet and juicy, ,Seed small and hard, Ripening season July to October"
34,Fruits,81190,Cotton Fruit,Pui Fai,"Pui Fai is a small, round fruit with a smooth, yellow flesh. It is grown in Thailand and is in season from December to February. Pui Fai is similar to a lychee in appearance and taste, and is often used in desserts and cocktails.","Size: 2.5 cm, Shape: spherical, Skin Color: green, Flesh Color: white, Texture: crisp and juicy, Weight: 20 g","Size: 2.5 cm, Shape: spherical, Skin Color: green, Flesh Color: white, Texture: crisp and juicy, Weight: 20 g,Scientific name: Gossypium hirsutum, Origin: Mexico, TSS value: 7-8%, Acidity: 0.4-0.6%, Taste: Sweet, Seed: One to three seeds, Ripening Season: August to October, Nutritional Value: Vitamin C, carotene, and fiber, Shelf life: One to two months"
39,Fruits,80420,Dried Fig,Black Mission,"The Black Mission fig is a variety of dried fig. The fruit is native to the Mediterranean region and is now grown in California. The figs are black in color and have a sweet, rich flavor.","Size: 1-2 inches, Shape: Oblong, Skin Color: Brown, Flesh Color: Pink, Texture: Soft, Weight: 20-30 grams","Size: 1-2 inches, Shape: Oblong, Skin Color: Brown, Flesh Color: Pink, Texture: Soft, Weight: 20-30 grams,Scientific name: Ficus carica, Origin: Syria, TSS value: 18-22%, Acidity: 0.8-1.2%, Taste: Sweet, Seed: One to five, Ripening Season: Summer, Nutritional Value: Vitamin A, Vitamin C, Potassium, Shelf life: One to two months"
42,Fruits,80420,Dried Fig,Brown Turkey,"A dried fig, also known as a fig fruit, is a sweet and nutritious fruit that is popular among consumers for its unique taste and texture. Brown Turkey figs are typically grown in warm climates and are available year-round. These figs are a great source of fiber and are also rich in vitamins and minerals.","Size: 2-3 cm, Shape: Oblong, Skin Color: Brown, Flesh Color: Pink, Texture: Sweet and chewy, Weight: 20-30 g","Size: 2-3 cm, Shape: Oblong, Skin Color: Brown, Flesh Color: Pink, Texture: Sweet and chewy, Weight: 20-30 g,Scientific name: Ficus carica, Origin: Turkey, TSS value: 18-22, Acidity: 0.7-1.3, Taste: Sweet, Seed: 1-3, Ripening Season: Summer, Nutritional Value: Vitamins A and C, potassium, calcium, magnesium, and iron, Shelf life: 2-3 years"
44,Fruits,80420,Dried Fig,Calimyrna,"Dried figs are a type of dried fruit that are typically grown in Mediterranean countries. They have a sweet and slightly nutty flavor, and are often used in desserts or as a snack.","Size: 2-3 cm, Shape: Oval, Skin Color: Brown, Flesh Color: Pinkish-white, Texture: Soft and chewy, Weight: 20-30 grams","Size: 2-3 cm, Shape: Oval, Skin Color: Brown, Flesh Color: Pinkish-white, Texture: Soft and chewy, Weight: 20-30 grams,Ficus carica, California, 18-23%, 4.5-6.5%, Sweet with a slight tang, 1-5, Summer, Rich in vitamins and minerals, 2-3 weeks"
46,Fruits,80420,Dried Fig,Sierra,The Dried Fig Sierra variety is grown in the Mediterranean and is a popular fruit in that region. The figs are dried and then often used in baking or as a snack. They are small and brown in color with a sweet taste.,"Size: 2-3 cm, Shape: oval, Skin Color: green, Flesh Color: pink, Texture: chewy, Weight: 30-40 g","Size: 2-3 cm, Shape: oval, Skin Color: green, Flesh Color: pink, Texture: chewy, Weight: 30-40 g,Scientific name: Ficus carica, Origin: Turkey, TSS value: 18.5%, Acidity: 0.42%, Taste: Sweet, Seed: One to three, Ripening Season: August to October, Nutritional Value: Vitamin A, Vitamin C, dietary fiber, potassium, Shelf life: 18-24 months"
47,Fruits,80420,Dried Fig,Barsume,"Dried figs are a type of dried fruit that are made from the fresh fruit of the fig tree. These figs are typically grown in Mediterranean countries, and they have a sweet, chewy texture that is loved by many. Dried figs are a great source of fiber and are often used in baking or as a snack.","Size: 2-3 cm, Shape: Oblong, Skin Color: Brown, Flesh Color: Pinkish-Brown, Texture: Soft and chewy, Weight: 30 g","Size: 2-3 cm, Shape: Oblong, Skin Color: Brown, Flesh Color: Pinkish-Brown, Texture: Soft and chewy, Weight: 30 g,Scientific name: Ficus carica, Origin: Turkey, TSS value: 18-20%, Acidity: 5-6%, Taste: Sweet, Seed: One to five, Ripening Season: August to September, Nutritional Value: Vitamin A, Vitamin C, Potassium, Shelf life: One year"
49,Fruits,80420,Dried Fig,Bebera Preto,The Bebera Preto dried fig variety is native to Portugal and is grown in the Lisbon region. This variety is available from June to September. The Bebera Preto dried fig has a sweet taste with a hint of bitterness. The texture of the fruit is chewy and the skin is thin.,"Size: 3-4 cm, Shape: oval, Skin Color: blackish brown, Flesh Color: deep red, Texture: chewy and slightly grainy, Weight: 20-30","Size: 3-4 cm, Shape: oval, Skin Color: blackish brown, Flesh Color: deep red, Texture: chewy and slightly grainy, Weight: 20-30,Scientificname: Ficus carica, Bebera Preto, TSS: 18-25%, Acidity: 0.5-0.8%, Taste: Sweet, Seed: 1-5, Ripening Season: August-September, Nutritional Value: Vitamins A and C, Shelf life: 1-2 years"
51,Fruits,80420,Dried Fig,Panache,"This sweet and chewy fruit is a must-have in any dried fruit lover's pantry. The Panache variety of dried figs is grown in sunny California and is available year-round. These flavorful figs are a great snack on their own or can be added to trail mix, yogurt, or cereal.","Size: 2-3 cm, Shape: oblong-ovoid, Skin Color: light brown, Flesh Color: light pink, Texture: chewy, Weight: 20-25 g","Size: 2-3 cm, Shape: oblong-ovoid, Skin Color: light brown, Flesh Color: light pink, Texture: chewy, Weight: 20-25 g,Scientifc name: Ficus carica 'Panache', Origin: France, TSS value: 18-20%, Acidity: 3-4%, Taste: Sweet, Seed: 1-2%, Ripening Season: August-September, Nutritional Value: Vitamin C, Potassium, Shelf life: 6 months"
52,Fruits,80420,Dried Fig,Verdal,"Dried figs are a type of dried fruit that are produced from the fig tree. The fig tree is native to the Mediterranean region and the Middle East. Dried figs are a popular ingredient in many recipes, and they are also a popular snack.","Size: 5-7 cm, Shape: Oblong, Skin Color: Dark Brown, Flesh Color: Pinkish-brown, Texture: Succulent, Weight: 20-25 g","Size: 5-7 cm, Shape: Oblong, Skin Color: Dark Brown, Flesh Color: Pinkish-brown, Texture: Succulent, Weight: 20-25 g,Scientific name: Ficus carica, Origin:Turkey, TSS value:70, ,Taste:Sweet, Seed: One, Ripening Season: Summer, Shelf life:2-3 days."
55,Fruits,80420,Dried Fig,Lampo Branco,Dried figs are a type of fruit that is typically dried in the sun or in a dehydrator. They are chewy with a slightly sweet taste. Figs are a good source of fiber and are often used in baking or as a topping for cereal or yogurt.,"Size: 10 grams, Shape:round, Skin Color: off-white, Flesh Color: white, Texture: chewy, Weight: 28 grams","Size: 10 grams, Shape:round, Skin Color: off-white, Flesh Color: white, Texture: chewy, Weight: 28 grams,Scientific name: Ficus caricaOrigin: TurkeyTSS value: 18-22Acidity: 0.40-0.70Taste: SweetSeed: 1-5Ripening Season: Late August-SeptemberNutritional Value: Rich in vitamins and mineralsShelf life: 6-9 months"
56,Fruits,80420,Dried Fig,Saint Varieties,A dried fig is a type of dried fruit that is made from the edible fruit of the ficus tree. The fruit is dried and then often used in sweet dishes or as a snack. Dried figs are a popular ingredient in many recipes and are a good source of dietary fiber and minerals.,"Size: 3-4 cm, Shape: Oblong, Skin Color: Brown, Flesh Color: Pink, Texture: Soft and chewy, Weight: 30-40 grams","Size: 3-4 cm, Shape: Oblong, Skin Color: Brown, Flesh Color: Pink, Texture: Soft and chewy, Weight: 30-40 grams,Scientific name: Ficus carica, TSS value: 17-18%, Acidity: 2.0-3.0%, Taste: sweet, Seed: 1-2%, Ripening Season: Summer, Nutritional Value: Vitamins A and C, calcium, iron, phosphorus, and potassium, Shelf life: 6-8 months"
58,Fruits,80420,Dried Fig,Breba,"The dried fig is a chewy, sweet fruit that is often used in desserts. This variety, called the Breba, is grown in Turkey and is available year-round. The Breba is smaller and less sweet than other varieties of dried figs.","Size: 2-3 cm, Shape: Oblong, Skin Color: Green, Flesh Color: Yellow, Texture: Succulent, Weight: 20-30 g","Size: 2-3 cm, Shape: Oblong, Skin Color: Green, Flesh Color: Yellow, Texture: Succulent, Weight: 20-30 g,Scientific name: Ficus carica, Origin: Turkey, TSS value: 18, Acidity: 0.9, Taste: Sweet, Seed: 1-5, Ripening Season: Summer, Nutritional Value: Rich in Vitamins A, C, and E, Shelf life: 6 months"
63,Fruits,80420,Dried Fig,Kavak,Dried Figs are a type of fruit that is often eaten as a snack. They are typically dried and then packaged for consumption. Dried figs are produced in many different regions of the world and are available year-round.,"Size: 4-5 cm, Shape: oval, Skin Color: green, Flesh Color: pink, Texture: chewy, Weight: 20 grams","Size: 4-5 cm, Shape: oval, Skin Color: green, Flesh Color: pink, Texture: chewy, Weight: 20 grams,Scientific name: Ficus carica L., Turkey, TSS value: 18-22%, Acidity:1-3%,Ripening season: Summer, Nutrition: Rich in vitamins and minerals, Shelf life: 1-2 years"
64,Fruits,80420,Dried Fig,Desert King,"The Desert King fig is a large, brown fig with a sweet, syrupy flesh. It is grown in the arid climate of California's Central Valley and is available fresh in the summer and fall months. The fig is a popular fruit among consumers for its unique flavor and nutritional value.","Size: Large, Shape: Oblong, Skin Color: Brown, Flesh Color: Pink, Texture: Juicy, Weight: 100g","Size: Large, Shape: Oblong, Skin Color: Brown, Flesh Color: Pink, Texture: Juicy, Weight: 100g,Scientific name: Ficus carica, Origin: Western Asian countries and the Mediterranean region, TSS value: 20-25%, Taste: sweet, Ripening season: June to August, Nutritional value: high in vitamins and minerals, Shelf life:up to 12 months."
65,Fruits,80420,Dried Fig,Conadria,"This dried fig variety is native to California and is in season from June to September. It is a small, light brown fig with a sweet flavor. Conadria is also known as the sugar fig or the desert fig.","Size: 2-3 cm, Shape: Oblong, Skin Color: Brown, Flesh Color: pinkish-white, Texture: tender, chewy, Weight: 20-30 g","Size: 2-3 cm, Shape: Oblong, Skin Color: Brown, Flesh Color: pinkish-white, Texture: tender, chewy, Weight: 20-30 g,Scientific name: Ficus carica, Origin: Turkey, TSS value: 18-22%, Acidity: 0.4-0.6%, Taste: Sweet, Seed: One to three, Ripening Season: Late summer to early fall, Nutritional Value: High in fiber, vitamins and minerals, Shelf life: Up to one year"
66,Fruits,80910,Fresh Apricot,Castlebrite,The Castlebrite apricot is a variety of apricot that is known for its sweetness and juiciness. This fruit is produced in the Castlebrite region of California and is available in the summer months. This variety of apricot is similar in taste and appearance to the Royal Blenheim apricot.,"Size: 2.5 inches, Shape: oval, Skin Color: yellow, Flesh Color: yellow, Texture: soft, Weight: 20 grams","Size: 2.5 inches, Shape: oval, Skin Color: yellow, Flesh Color: yellow, Texture: soft, Weight: 20 grams,Scientific name: Prunus armeniacaOrigin: ArmeniaTSS value: 9.5-11Acidity: 0.85-1.2Taste: Sweet and sourSeed: 1-3Ripening Season: SummerNutritional Value: Vitamin C, A, beta-carotene, potassium, copper, ironShelf life: 2-3 days"
68,Fruits,80910,Fresh Apricot,Modesto,"The Fresh Apricot variety Modesto is a small, round fruit with a soft, orange flesh. This variety is grown in California and is in season from May to August. Consumers often compare the taste of the Modesto to that of a peach or nectarine.","Size: 48 mm, Shape: ovate, Skin Color: yellow, Flesh Color: orange, Texture: soft, juicy, Weight: 18 grams","Size: 48 mm, Shape: ovate, Skin Color: yellow, Flesh Color: orange, Texture: soft, juicy, Weight: 18 grams,Scientific name: Prunus armeniacaOrigin: Central AsiaTSS value: 14-18%Acidity: 0.4-0.8%Taste: SweetSeed: OneRipening Season: Late spring to early summerNutritional Value: Vitamin C, carotene, and fiberShelf life: 2-3 days"
69,Fruits,80910,Fresh Apricot,Tilton,"With a name like Tilton, this apricot is bound to be delicious! This fruit is grown in California and is in season from May to August. Tilton apricots are known for their sweet flavor and are a favorite among many consumers.","Size: 45 mm, Shape: ovate, Skin Color: yellow, Flesh Color: orange, Texture: soft, Weight: 15-20 g","Size: 45 mm, Shape: ovate, Skin Color: yellow, Flesh Color: orange, Texture: soft, Weight: 15-20 g,,Scientific nameL Prunus armeniaca, Origin: China, TSS value: 8.5-9.5%, Acidity: 0.85%, Taste: Sweet, Seed: One to three, Ripening Season: May to September, Nutritional Value: Vitamin C and A, Shelf life: Three to four days"
70,Fruits,80910,Fresh Apricot,Patterson,"The Patterson Apricot is a variety of apricot that is grown in the United States. This fruit is named after the town of Patterson, California, where it was first grown. The Patterson Apricot is a large, oval-shaped fruit with a smooth, golden-yellow skin. The flesh of the fruit is orange-yellow and is juicy and sweet. This variety of apricot is in season from May to August.","Size: 2.5 to 3.5 cm, Shape: oval to spherical, Skin Color: orange to yellow, Flesh Color: orange, Texture: smooth, fleshy, Weight:","Size: 2.5 to 3.5 cm, Shape: oval to spherical, Skin Color: orange to yellow, Flesh Color: orange, Texture: smooth, fleshy, Weight:,Scientific name: Prunus armeniaca, Origin: California, TSS value: 15%, Acidity: 0.8%, Taste: Sweet, Seed: One to three, Ripening Season: Mid-May to mid-July, Nutritional Value: A source of vitamins A and C, Shelf life: Three to five days."
73,Fruits,80910,Fresh Apricot,Japanese,"Fresh apricots are a variety of apricot that is grown in Japan. These apricots are known for their sweetness and juiciness, and are a popular fruit among consumers. Fresh apricots are in season from late spring to early summer.","Size: 60 mm, Shape: oval, Skin Color: orange, Flesh Color: orange, Texture: soft, Weight: 20-25 g","Size: 60 mm, Shape: oval, Skin Color: orange, Flesh Color: orange, Texture: soft, Weight: 20-25 g,Scientific name: Prunus mume, Asia, 14-18%, 0.4-0.6%, Sweet, one to five, summer, Vitamin C, two to three days"
